I 06/10/2012 16:44:14:191 00002ac8           HttpServer| Process URI: '/public/css/layout.css'
I 06/10/2012 16:44:14:347 00002ac8           HttpServer| Process URI: '/public/jqmobile/images/icons-18-white.png'
I 06/10/2012 16:44:14:410 00000a3c           MainWindow| WebView: loaded 
I 06/10/2012 16:44:15:355 00000a3c           MainWindow| WebView: loading...
I 06/10/2012 16:44:15:358 00002ac8           HttpServer| Process URI: '/app/index.erb'
I 06/10/2012 16:44:15:358 00002ac8                  APP| RHO serve_index: /app/index.erb
I 06/10/2012 16:44:15:358 00002ac8 RHO Rho::RhoController| inst_render_index
I 06/10/2012 16:44:15:359 00002ac8                  APP| eval_compiled_file : C:/Applications/placar-jiujitsu/app/index.erb
I 06/10/2012 16:44:15:364 00002ac8 RHO Rho::RhoController| index layout
I 06/10/2012 16:44:15:364 00002ac8                  APP| eval_compiled_file : C:/Applications/placar-jiujitsu/app/layout.erb
I 06/10/2012 16:44:15:367 00002ac8           HttpServer| GC Start.
I 06/10/2012 16:44:15:369 00000a3c           MainWindow| WebView: URL changed
I 06/10/2012 16:44:15:369 00002ac8           HttpServer| GC End.
I 06/10/2012 16:44:15:405 00002ac8           HttpServer| Process URI: '/public/jquery/jquery-1.6.4.min.js'
I 06/10/2012 16:44:15:409 00002ac8           HttpServer| Process URI: '/public/jquery/jquery.json-2.3.min.js'
I 06/10/2012 16:44:15:411 00002ac8           HttpServer| Process URI: '/public/jqmobile/jquery.mobile-1.0.1.min.css'
I 06/10/2012 16:44:15:412 00002ac8           HttpServer| Process URI: '/public/css/jqmobile-patch.css'
I 06/10/2012 16:44:15:413 00002ac8           HttpServer| Process URI: '/public/js/scoreboard.js'
I 06/10/2012 16:44:15:414 00002ac8           HttpServer| Process URI: '/public/jqmobile/jquery.mobile-1.0.1.min.js'
I 06/10/2012 16:44:15:476 00002ac8           HttpServer| Process URI: '/public/js/jqmobile-patch.js'
I 06/10/2012 16:44:15:554 00002ac8           HttpServer| Process URI: '/public/css/android.css'
I 06/10/2012 16:44:15:557 00002ac8           HttpServer| Process URI: '/public/css/layout.css'
I 06/10/2012 16:44:15:632 00002ac8           HttpServer| Process URI: '/public/jqmobile/images/icons-18-white.png'
I 06/10/2012 16:44:15:707 00000a3c           MainWindow| WebView: loaded 
I 06/10/2012 16:44:59:374 00000a3c           MainWindow| WebView: loading...
I 06/10/2012 16:44:59:379 00002ac8           HttpServer| Process URI: '/app/index.erb'
I 06/10/2012 16:44:59:380 00002ac8                  APP| RHO serve_index: /app/index.erb
I 06/10/2012 16:44:59:380 00002ac8 RHO Rho::RhoController| inst_render_index
I 06/10/2012 16:44:59:380 00002ac8                  APP| eval_compiled_file : C:/Applications/placar-jiujitsu/app/index.erb
I 06/10/2012 16:44:59:386 00002ac8 RHO Rho::RhoController| index layout
I 06/10/2012 16:44:59:387 00002ac8                  APP| eval_compiled_file : C:/Applications/placar-jiujitsu/app/layout.erb
I 06/10/2012 16:44:59:392 00002ac8           HttpServer| GC Start.
I 06/10/2012 16:44:59:393 00002ac8           HttpServer| GC End.
I 06/10/2012 16:44:59:397 00000a3c           MainWindow| WebView: URL changed
I 06/10/2012 16:44:59:438 00002ac8           HttpServer| Process URI: '/public/jquery/jquery-1.6.4.min.js'
I 06/10/2012 16:44:59:443 00002ac8           HttpServer| Process URI: '/public/jquery/jquery.json-2.3.min.js'
I 06/10/2012 16:44:59:445 00002ac8           HttpServer| Process URI: '/public/jqmobile/jquery.mobile-1.0.1.min.css'
I 06/10/2012 16:44:59:447 00002ac8           HttpServer| Process URI: '/public/css/jqmobile-patch.css'
I 06/10/2012 16:44:59:448 00002ac8           HttpServer| Process URI: '/public/js/scoreboard.js'
I 06/10/2012 16:44:59:449 00002ac8           HttpServer| Process URI: '/public/jqmobile/jquery.mobile-1.0.1.min.js'
I 06/10/2012 16:44:59:565 00002ac8           HttpServer| Process URI: '/public/js/jqmobile-patch.js'
I 06/10/2012 16:44:59:567 00002ac8           HttpServer| Process URI: '/public/css/android.css'
I 06/10/2012 16:44:59:568 00002ac8           HttpServer| Process URI: '/public/css/layout.css'
I 06/10/2012 16:44:59:852 00002ac8           HttpServer| Process URI: '/public/jqmobile/images/icons-18-white.png'
I 06/10/2012 16:44:59:995 00000a3c           MainWindow| WebView: loaded 
I 06/10/2012 16:49:21:023 00000a3c           MainWindow| WebView: loading...
I 06/10/2012 16:49:21:025 00002ac8           HttpServer| Process URI: '/app/index.erb'
I 06/10/2012 16:49:21:026 00002ac8                  APP| RHO serve_index: /app/index.erb
I 06/10/2012 16:49:21:026 00002ac8 RHO Rho::RhoController| inst_render_index
I 06/10/2012 16:49:21:026 00002ac8                  APP| eval_compiled_file : C:/Applications/placar-jiujitsu/app/index.erb
I 06/10/2012 16:49:21:028 00002ac8 RHO Rho::RhoController| index layout
I 06/10/2012 16:49:21:028 00002ac8                  APP| eval_compiled_file : C:/Applications/placar-jiujitsu/app/layout.erb
I 06/10/2012 16:49:21:031 00002ac8           HttpServer| GC Start.
I 06/10/2012 16:49:21:032 00002ac8           HttpServer| GC End.
I 06/10/2012 16:49:21:033 00000a3c           MainWindow| WebView: URL changed
I 06/10/2012 16:49:21:064 00002ac8           HttpServer| Process URI: '/public/jquery/jquery-1.6.4.min.js'
I 06/10/2012 16:49:21:073 00002ac8           HttpServer| Process URI: '/public/jquery/jquery.json-2.3.min.js'
